,ibns_20u,vgs_m1,name,type,time,OK
0,10.4698,0.644943,LayGtKttmmTtVtAl,Lay,Sat May  2 20:59:12 2026,False
1,11.2859,0.646672,1,,Sat May  2 20:59:12 2026,False
2,10.6331,0.645291,2,,Sat May  2 20:59:12 2026,False
3,11.1569,0.645637,3,,Sat May  2 20:59:12 2026,False
4,10.7776,0.6456,4,,Sat May  2 20:59:12 2026,False
5,10.8726,0.646454,5,,Sat May  2 20:59:12 2026,False
6,9.84554,0.643301,6,,Sat May  2 20:59:12 2026,False
7,9.530560000000001,0.639013,7,,Sat May  2 20:59:13 2026,False
8,10.7699,0.644072,8,,Sat May  2 20:59:13 2026,False
9,10.2388,0.641228,9,,Sat May  2 20:59:13 2026,False
10,10.0886,0.642398,10,,Sat May  2 20:59:13 2026,False
11,10.3402,0.64355,11,,Sat May  2 20:59:13 2026,False
12,10.0923,0.643157,12,,Sat May  2 20:59:13 2026,False
13,10.0044,0.6445,13,,Sat May  2 20:59:13 2026,False
14,10.1458,0.64563,14,,Sat May  2 20:59:13 2026,False
15,11.3827,0.647873,15,,Sat May  2 20:59:13 2026,False
16,9.77913,0.638737,16,,Sat May  2 20:59:13 2026,False
17,9.471,0.637047,17,,Sat May  2 20:59:13 2026,False
18,10.953100000000001,0.64461,18,,Sat May  2 20:59:13 2026,False
19,11.26,0.646539,19,,Sat May  2 20:59:14 2026,False
20,9.07112,0.638105,20,,Sat May  2 20:59:14 2026,False
21,10.6273,0.645734,21,,Sat May  2 20:59:14 2026,False
22,10.4055,0.642723,22,,Sat May  2 20:59:14 2026,False
23,9.76834,0.642974,23,,Sat May  2 20:59:14 2026,False
24,10.3828,0.643667,24,,Sat May  2 20:59:14 2026,False
25,10.071000000000002,0.641212,25,,Sat May  2 20:59:14 2026,False
26,9.698509999999999,0.640832,26,,Sat May  2 20:59:14 2026,False
27,10.9032,0.645323,27,,Sat May  2 20:59:14 2026,False
28,11.1289,0.646981,28,,Sat May  2 20:59:14 2026,False
29,10.5581,0.644185,29,,Sat May  2 20:59:14 2026,False
30,41.1845,0.738814,LayGtKttmmTtVtAh,Lay,Sat May  2 20:59:14 2026,False
31,42.8261,0.739672,1,,Sat May  2 20:59:15 2026,False
32,41.564,0.738647,2,,Sat May  2 20:59:15 2026,False
33,42.5571,0.739016,3,,Sat May  2 20:59:15 2026,False
34,42.3778,0.740085,4,,Sat May  2 20:59:15 2026,False
35,41.751200000000004,0.739688,5,,Sat May  2 20:59:15 2026,False
36,39.1787,0.73636,6,,Sat May  2 20:59:15 2026,False
37,38.7763,0.73318,7,,Sat May  2 20:59:15 2026,False
38,42.274899999999995,0.738811,8,,Sat May  2 20:59:15 2026,False
39,40.2055,0.735065,9,,Sat May  2 20:59:15 2026,False
40,39.8989,0.735963,10,,Sat May  2 20:59:15 2026,False
41,40.726200000000006,0.737102,11,,Sat May  2 20:59:15 2026,False
42,40.2382,0.737338,12,,Sat May  2 20:59:16 2026,False
43,40.6953,0.739139,13,,Sat May  2 20:59:16 2026,False
44,40.0848,0.73889,14,,Sat May  2 20:59:16 2026,False
45,43.8946,0.742337,15,,Sat May  2 20:59:16 2026,False
46,40.224,0.734672,16,,Sat May  2 20:59:16 2026,False
47,39.1858,0.732813,17,,Sat May  2 20:59:16 2026,False
48,42.093199999999996,0.738484,18,,Sat May  2 20:59:16 2026,False
49,42.8573,0.740206,19,,Sat May  2 20:59:16 2026,False
50,37.7807,0.732343,20,,Sat May  2 20:59:16 2026,False
51,41.464400000000005,0.739086,21,,Sat May  2 20:59:16 2026,False
52,40.676300000000005,0.736037,22,,Sat May  2 20:59:17 2026,False
53,39.644999999999996,0.737334,23,,Sat May  2 20:59:17 2026,False
54,41.7015,0.738758,24,,Sat May  2 20:59:17 2026,False
55,40.8579,0.73659,25,,Sat May  2 20:59:17 2026,False
56,38.9717,0.734474,26,,Sat May  2 20:59:17 2026,False
57,42.4057,0.739405,27,,Sat May  2 20:59:17 2026,False
58,42.4364,0.740014,28,,Sat May  2 20:59:17 2026,False
59,40.9597,0.737565,29,,Sat May  2 20:59:17 2026,False
